product_i,name_i,product_j,name_j,weighted_similarity
7325,Iron and Iron or steel,7419,"Copper: chain and parts thereof, cast and articles",0.9881
8207,"Tools, interchangeable: rock drilling or earth boring tools and (for machine or hand tools, whether or not power-operated)",8480,"Moulding boxes, Mould bases, Moulding patterns and Moulds",0.9862
8466,Machine-tools: parts and accessories,8480,"Moulding boxes, Mould bases, Moulding patterns and Moulds",0.9805
1601,"Meat preparations: sausages and similar products, of meat, meat offal or blood, and food preparations based on these products",1604,"Fish preparations: salmon, herrings, sardines, tunas, mackerel, anchovies, fish prepared or preserved, fish minced or in forms, and others",0.9803
7304,"Iron or steel: seamless tubes, pipes and casing",8466,Machine-tools: parts and accessories,0.9788
8207,"Tools, interchangeable: rock drilling or earth boring tools and (for machine or hand tools, whether or not power-operated)",8466,Machine-tools: parts and accessories,0.9767
8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",8437,Machines and Machinery,0.9767
7326,"Iron or steel: grinding balls and similar articles for mills, articles and wire articles",8707,"Vehicle bodies, including cabs",0.976
7204,Ferrous waste and scrap and Ferrous products,7304,"Iron or steel: seamless tubes, pipes and casing",0.9738
0201,"Meat: of bovine animals, fresh or chilled",1601,"Meat preparations: sausages and similar products, of meat, meat offal or blood, and food preparations based on these products",0.973
8422,Dish washing machines and Machinery,8428,"Lifts and skip hoists, Elevators and conveyors, Escalators and moving walkways, and others",0.9729
8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",8465,"Machine-tools: for working wood, cork, bone, hard rubber",0.9728
7204,Ferrous waste and scrap and Ferrous products,8707,"Vehicle bodies, including cabs",0.9725
8465,"Machine-tools: for working wood, cork, bone, hard rubber",8707,"Vehicle bodies, including cabs",0.9722
7326,"Iron or steel: grinding balls and similar articles for mills, articles and wire articles",8437,Machines and Machinery,0.9704
7326,"Iron or steel: grinding balls and similar articles for mills, articles and wire articles",8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",0.9702
7304,"Iron or steel: seamless tubes, pipes and casing",8480,"Moulding boxes, Mould bases, Moulding patterns and Moulds",0.9697
8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",8707,"Vehicle bodies, including cabs",0.9681
0304,"Fish: swordfish (Xiphias gladius), toothfish (Dissostichus spp.), and others",1601,"Meat preparations: sausages and similar products, of meat, meat offal or blood, and food preparations based on these products",0.9669
3923,Plastics and Ethylene polymers,3926,"Plastics: office or school supplies, articles of apparel and clothing accessories (including gloves, mittens and mitts), and others",0.9659
